plot;tag;GenusSpecies;family;order1;order2;order3
P24;539658;Cavanillesia platanifolia;Malvaceae;0.38914965398229;0.302263653440621;0.302411236149182
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;2.02994427454903;0.510405521915731;0.392221662674633
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;0.454902539401711;0.42903877232763;0.604813514828046
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;0.348652051706519;0.389237582999329;0.952028299696579
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.465834613257938;0.390859494095313;0.561822510857317
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.468267779963888;0.244974967961837;0.364112757877981
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.706722258358137;0.33022995536964;0.505589091120743
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.291949882732249;0.316428298803832;0.351994952844869
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;2.06212304708101;1.30236366203621;0.474539988112539
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;2.63926777303163;1.19415044049637;0.298871461167008
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;1.47148399153094;1.00433193503826;0.438558942243882
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;1.84264115977381;0.946633906694628;0.559925166396413
P24;855556;Gustavia superba;Lecythidaceae;0.521841597261098;0.396064635969238;0.216375710681472
P24;855556;Gustavia superba;Lecythidaceae;0.334261378678468;0.345012384593602;0.217880501720568
P24;855556;Gustavia superba;Lecythidaceae;0.539229849902643;0.261540914835065;0.230614097875754
P24;855556;Gustavia superba;Lecythidaceae;0.563204492922755;0.247576883080679;0.269969841644409
P24;538484;Gustavia superba;Lecythidaceae;1.01099555220147;0.306550048886808;0.259802394828135
P24;538484;Gustavia superba;Lecythidaceae;0.644026496014967;0.293998034396053;0.313908424312774
P24;538484;Gustavia superba;Lecythidaceae;0.926467959112596;0.332721516777441;0.327823399309189
P24;538484;Gustavia superba;Lecythidaceae;0.633549916591767;0.268639161268333;0.27304315940545
P23;536584;Gustavia superba;Lecythidaceae;0.196415163138348;0.1737032987694;0.0883343476431983
P23;536584;Gustavia superba;Lecythidaceae;0.0543098211307158;0.112763859915912;0.0435021086529251
P23;536584;Gustavia superba;Lecythidaceae;0.168896194540937;0.0871916955933361;0.0767880243943305
P23;536584;Gustavia superba;Lecythidaceae;0.171991819207578;0.164150290569041;0.0703150552782422
P23;537324;Gustavia superba;Lecythidaceae;0.364497201786782;0.478030910497778;0.258385596693391
P23;537324;Gustavia superba;Lecythidaceae;0.538871556280013;0.26999996365505;0.213560056331726
P23;537324;Gustavia superba;Lecythidaceae;0.364398735355147;0.223106128982521;0.264419012660065
P23;537324;Gustavia superba;Lecythidaceae;0.426377688964297;0.391715886756312;0.147864158115308
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;1.5961897071751;1.38799666264488;0.655092186343058
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;1.52208381058296;1.68169647816262;1.15030903687554
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;2.06082028003393;2.0747775175185;1.14710464310073
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;4.11340208775641;1.81327176421802;0.559314352417147
P23;536481;Inga vera;Fabaceae-mimosoideae;1.17818128825046;1.2473650206886;0.47517710817068
P23;536481;Inga vera;Fabaceae-mimosoideae;1.38767949317153;0.999193414695094;0.374334690120683
P23;536481;Inga vera;Fabaceae-mimosoideae;1.43475160606613;0.938554819863428;0.322119341656375
P23;536481;Inga vera;Fabaceae-mimosoideae;2.36738780695996;0.754276450840121;0.570743361686954
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.711837491354298;0.534434812103151;0.357942382903733
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;1.31137954703932;0.666442174742717;0.303367843457683
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.853762091257777;0.337851603014255;0.293642350483701
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.846140031527364;0.415615614944155;0.308613468679136
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.598629183346131;0.188331633827344;0.176304488102848
